orderID,CartID,QTY,order_status,order_date,transaction_price
133,409,5,ordered,2020-03-14,500
134,411,6,ordered,2020-05-08,600
135,418,1,finished,2020-11-30,100
136,419,7,finished,2020-06-04,700
137,420,7,finished,2020-01-14,700
138,429,10,ordered,2019-11-09,1000
139,430,8,in shipping,2020-01-11,800
140,437,10,finished,2020-11-27,1000
141,438,10,in shipping,2019-02-23,1000
142,442,2,in shipping,2020-01-16,200
143,443,5,in shipping,2020-07-18,500
144,448,9,in shipping,2020-10-21,900
145,449,7,finished,2019-04-25,700
146,452,7,finished,2020-02-25,700
147,453,5,finished,2019-08-06,500
148,454,2,ordered,2019-07-03,200
149,457,2,finished,2019-01-28,200
150,462,3,ordered,2019-01-09,300
151,463,8,finished,2019-05-12,800
152,464,3,finished,2020-08-30,300
153,469,2,in shipping,2019-08-11,200
154,471,3,in shipping,2019-02-11,300
155,474,8,finished,2020-05-07,800
156,476,3,finished,2019-06-07,300
157,478,9,in shipping,2020-01-24,900
158,481,10,in shipping,2020-12-25,1000
159,482,2,in shipping,2020-01-20,200
160,484,3,ordered,2020-02-11,300
161,485,2,in shipping,2019-02-28,200
162,488,1,in shipping,2019-03-15,100
163,490,8,in shipping,2020-08-07,800
164,493,7,ordered,2019-02-11,700
165,495,5,ordered,2020-12-08,500
166,496,10,ordered,2019-10-02,1000
167,498,7,finished,2019-02-16,700
168,499,3,ordered,2019-12-07,300
169,500,4,in shipping,2019-07-24,400
170,503,6,finished,2019-05-23,600
171,504,3,ordered,2019-06-22,300
172,505,5,finished,2020-08-04,500
173,506,6,in shipping,2020-03-20,600
174,507,6,in shipping,2019-08-10,600
175,514,4,in shipping,2019-09-05,400
176,515,7,ordered,2019-05-11,700
177,527,5,in shipping,2019-09-08,500
178,531,3,ordered,2019-06-21,300
179,532,9,finished,2019-11-14,900
180,537,5,finished,2019-10-08,500
181,545,9,ordered,2019-01-22,900
182,549,8,finished,2020-03-08,800
183,551,2,ordered,2019-11-08,200
184,554,8,ordered,2020-04-19,800
185,560,10,ordered,2019-08-17,1000
186,564,3,ordered,2020-10-02,300
187,568,8,finished,2019-09-18,800
188,569,7,in shipping,2019-08-25,700
189,573,3,ordered,2019-07-14,300
190,575,4,finished,2020-03-23,400
191,576,4,ordered,2019-04-17,400
192,580,8,in shipping,2020-07-27,800
193,582,8,ordered,2020-05-11,800
194,584,8,in shipping,2019-03-05,800
195,587,10,ordered,2019-08-01,1000
196,597,6,finished,2019-05-10,600
197,600,6,in shipping,2019-02-09,600
198,604,4,finished,2019-03-15,400
199,605,7,in shipping,2020-08-09,700
200,608,6,ordered,2020-09-28,600
201,609,6,finished,2020-02-11,600
202,611,5,ordered,2020-07-24,500
203,612,5,in shipping,2019-10-28,500
204,617,8,in shipping,2019-09-12,800
205,627,2,in shipping,2020-01-03,200
206,628,2,in shipping,2020-06-26,200
207,638,7,finished,2020-01-13,700
208,639,6,finished,2020-07-24,600
209,642,6,in shipping,2020-02-28,600
210,645,2,in shipping,2020-12-29,200
211,646,7,ordered,2019-10-04,700
212,647,3,in shipping,2020-12-18,300
213,648,5,in shipping,2020-01-12,500
214,655,9,ordered,2020-08-29,900
215,660,1,in shipping,2019-05-09,100
216,664,3,in shipping,2019-09-03,300
217,669,5,in shipping,2020-10-17,500
218,670,10,finished,2020-02-17,1000
219,672,3,ordered,2019-01-26,300
220,676,1,finished,2019-02-17,100
221,677,5,in shipping,2020-09-19,500
222,681,10,in shipping,2020-04-04,1000
223,683,5,ordered,2019-09-06,500
224,685,7,in shipping,2020-09-07,700
225,694,10,in shipping,2020-12-25,1000
226,697,10,ordered,2019-01-17,1000
227,700,8,ordered,2020-04-20,800
228,702,6,ordered,2019-01-04,600
229,703,3,in shipping,2019-03-11,300
230,704,4,in shipping,2019-07-29,400
231,708,1,in shipping,2019-11-13,100
232,710,8,finished,2019-08-05,800
233,711,5,finished,2019-03-10,500
234,714,8,in shipping,2019-03-31,800
235,720,2,ordered,2019-10-15,200
236,721,9,finished,2019-09-01,900
237,722,9,finished,2020-12-11,900
238,727,6,in shipping,2019-04-02,600
239,730,7,ordered,2019-03-18,700
240,731,4,in shipping,2019-04-11,400
241,733,8,finished,2020-08-14,800
242,739,2,in shipping,2020-12-23,200
243,741,4,ordered,2019-12-05,400
244,747,8,in shipping,2020-12-28,800
245,751,1,finished,2019-09-12,100
246,754,5,ordered,2019-11-18,500
247,755,2,in shipping,2019-09-10,200
248,757,2,finished,2020-10-20,200
249,759,10,finished,2020-03-01,1000
250,772,5,in shipping,2020-02-12,500
251,781,7,ordered,2019-07-06,700
252,784,5,finished,2020-08-01,500
253,785,5,in shipping,2020-04-05,500
254,786,8,finished,2020-06-02,800
255,794,5,in shipping,2019-12-11,500
256,801,10,finished,2020-06-28,1000
257,803,2,ordered,2019-05-22,200
258,804,1,finished,2019-02-20,100
259,805,8,ordered,2020-12-06,800
260,807,6,finished,2019-09-10,600
261,811,8,in shipping,2020-04-19,800
262,816,2,finished,2019-03-02,200
263,820,10,ordered,2019-03-30,1000
264,822,3,finished,2019-08-26,300
265,824,8,ordered,2019-02-18,800
266,826,7,finished,2019-11-09,700
267,827,7,in shipping,2019-04-04,700
268,828,3,in shipping,2020-07-01,300
269,829,7,in shipping,2020-10-24,700
270,830,3,ordered,2020-06-04,300
271,831,7,finished,2020-07-24,700
272,845,2,ordered,2020-11-13,200
273,850,8,ordered,2019-10-29,800
274,852,2,in shipping,2019-01-11,200
275,854,7,finished,2020-10-01,700
276,857,1,finished,2019-02-09,100
277,858,4,ordered,2019-10-12,400
278,862,9,in shipping,2020-08-02,900
279,865,10,ordered,2019-11-07,1000
280,868,6,finished,2019-01-23,600
281,871,7,ordered,2020-01-01,700
282,873,10,in shipping,2019-08-26,1000
283,875,10,ordered,2020-08-13,1000
284,877,4,finished,2019-01-25,400
285,883,8,ordered,2019-03-15,800
286,884,10,in shipping,2019-01-12,1000
287,887,8,finished,2019-05-10,800
288,888,6,finished,2019-10-05,600
289,889,10,in shipping,2020-07-02,1000
290,890,5,ordered,2020-03-08,500
291,893,7,in shipping,2020-02-24,700
292,894,8,ordered,2020-01-26,800
293,898,2,in shipping,2019-04-04,200
294,900,3,finished,2020-08-29,300
295,901,6,ordered,2020-07-31,600
296,919,4,ordered,2019-05-15,400
297,922,9,in shipping,2019-01-15,900
298,924,8,ordered,2020-01-02,800
299,926,5,finished,2020-09-20,500
300,928,9,in shipping,2020-02-15,900
301,932,5,ordered,2019-12-11,500
302,933,9,ordered,2019-10-15,900
303,934,1,in shipping,2019-08-27,100
304,935,4,in shipping,2019-11-15,400
305,936,7,in shipping,2019-12-27,700
306,944,3,ordered,2019-04-15,300
307,947,1,finished,2019-07-04,100
308,950,8,in shipping,2019-10-31,800
309,951,7,finished,2019-01-09,700
310,952,9,finished,2019-11-20,900
311,960,9,finished,2020-10-31,900
312,963,7,ordered,2019-11-09,700
313,966,2,ordered,2019-02-25,200
314,972,3,ordered,2020-03-09,300
315,974,2,in shipping,2019-08-19,200
316,978,7,ordered,2019-07-07,700
317,980,7,ordered,2019-11-04,700
318,984,10,in shipping,2020-01-27,1000
319,985,5,in shipping,2020-02-15,500
320,988,2,in shipping,2019-08-01,200
321,990,4,finished,2019-06-18,400
322,991,3,ordered,2019-06-06,300
323,993,9,finished,2020-02-17,900
324,998,2,in shipping,2020-05-26,200
325,999,2,ordered,2019-05-15,200
