CartID,CID,PID,cart_status
309,1,14,D
327,75,14,D
608,83,14,O
711,97,14,D
904,70,14,O
935,89,14,C
957,8,14,D
102,96,15,O
189,48,15,O
190,85,15,C
342,11,15,O
350,57,15,D
365,68,15,D
452,66,15,D
465,32,15,C
540,64,15,O
661,84,15,O
829,26,15,C
83,84,16,O
85,4,16,O
401,37,16,D
430,4,16,O
551,79,16,O
607,82,16,D
723,30,16,O
807,13,16,O
818,57,16,O
878,91,16,D
936,74,16,C
264,60,17,D
355,53,17,O
368,73,17,O
414,7,17,O
416,36,17,O
443,5,17,C
528,90,17,D
539,81,17,D
705,96,17,D
758,67,17,D
835,90,17,O
861,39,17,C
885,87,17,C
65,80,18,C
126,2,18,D
235,23,18,C
423,47,18,O
488,1,18,O
598,64,18,O
740,38,18,C
823,55,18,O
846,97,18,O
920,25,18,C
676,51,19,D
68,88,20,D
173,67,20,O
256,74,20,D
352,50,20,O
457,89,20,C
743,19,20,O
800,81,20,C
834,58,20,C
842,37,20,O
863,89,20,O
948,31,20,O
956,64,20,O
191,56,21,C
195,43,21,C
495,76,21,C
555,60,21,D
813,53,21,C
905,45,21,O
945,41,21,D
967,95,21,D
970,18,21,C
253,92,22,C
358,18,22,D
476,89,22,C
653,70,22,C
654,39,22,O
725,64,22,C
749,69,22,D
69,54,23,O
209,32,23,C
415,84,23,C
733,68,23,D
734,79,23,D
809,44,23,D
810,4,23,O
886,54,23,C
913,48,23,O
31,20,24,D
104,59,24,D
116,61,24,D
145,25,24,O
179,72,24,D
322,88,24,C
364,84,24,D
374,37,24,D
435,49,24,D
441,32,24,O
484,74,24,D
553,46,24,C
680,53,24,D
907,42,24,C
55,47,25,D
90,71,25,D
357,45,25,D
418,93,25,D
535,80,25,C
547,19,25,C
578,71,25,O
591,26,25,C
635,62,25,O
690,2,25,D
765,49,25,D
924,89,25,D
938,51,25,C
975,17,25,D
94,90,26,C
197,20,26,O
221,91,26,D
224,65,26,O
308,21,26,D
515,62,26,O
637,41,26,O
858,45,26,D
887,50,26,C
926,44,26,C
946,77,26,D
71,16,27,C
129,34,27,O
217,98,27,D
243,67,27,C
570,35,27,D
744,46,27,C
908,61,27,O
117,93,28,D
218,22,28,C
303,27,28,O
402,45,28,C
434,41,28,C
513,82,28,O
868,43,28,C
916,46,28,O
986,50,28,C
181,70,29,D
242,54,29,O
407,72,29,O
517,91,29,O
521,27,29,O
571,76,29,C
681,44,29,D
763,9,29,C
921,40,29,O
925,30,29,C
172,45,30,C
188,26,30,O
200,3,30,C
234,30,30,D
345,15,30,C
481,76,30,O
483,3,30,D
623,7,30,O
735,41,30,O
787,7,30,C
789,10,30,C
875,38,30,C
898,17,30,C
108,30,31,O
214,28,31,D
353,30,31,O
531,43,31,O
596,64,31,C
677,47,31,D
754,23,31,C
847,47,31,D
87,49,32,O
455,56,32,C
632,70,32,D
678,79,32,D
730,92,32,O
864,89,32,D
943,33,32,O
995,63,32,D
220,86,33,C
292,65,33,O
643,27,33,O
727,16,33,D
817,89,33,O
240,8,34,D
344,40,34,O
426,20,34,O
475,90,34,C
583,72,34,C
747,7,34,D
47,91,35,C
99,24,35,O
161,92,35,O
269,46,35,D
378,1,35,C
557,2,35,O
597,64,35,O
655,80,35,C
855,4,35,C
14,50,36,O
16,62,36,C
45,77,36,O
78,43,36,D
265,1,36,C
408,32,36,O
447,79,36,C
619,93,36,O
720,88,36,O
33,19,37,C
131,14,37,O
409,18,37,O
520,46,37,O
544,79,37,O
556,19,37,D
563,19,37,O
928,60,37,C
969,30,37,D
1,63,38,D
27,85,38,C
42,69,38,O
103,18,38,O
249,63,38,C
316,24,38,D
319,56,38,D
419,84,38,D
504,57,38,O
554,30,38,D
783,69,38,O
867,16,38,O
59,75,39,O
86,34,39,C
363,74,39,O
673,28,39,O
746,9,39,D
830,33,39,C
870,99,39,O
889,44,39,D
895,55,39,C
998,84,39,C
82,40,40,D
118,5,40,D
395,5,40,O
502,68,40,O
562,7,40,D
621,55,40,D
674,73,40,C
700,41,40,O
717,82,40,O
724,59,40,O
872,97,40,D
955,65,40,C
43,53,41,C
144,72,41,D
177,34,41,C
187,97,41,D
281,55,41,C
294,88,41,D
379,36,41,D
413,60,41,D
496,29,41,D
564,81,41,O
627,80,41,D
750,20,41,O
782,60,41,C
786,14,41,C
808,36,41,D
963,78,41,C
997,66,41,C
21,93,42,D
178,26,42,O
250,95,42,C
494,35,42,C
561,56,42,O
599,80,42,O
736,4,42,C
772,76,42,D
12,67,43,D
15,17,43,C
17,64,43,D
25,95,43,D
39,12,43,O
113,83,43,D
244,79,43,D
412,74,43,D
509,10,43,C
525,71,43,D
538,98,43,D
664,39,43,O
785,44,43,C
802,74,43,D
951,67,43,D
26,11,44,D
109,4,44,O
119,93,44,C
228,77,44,C
393,38,44,D
397,32,44,O
429,93,44,O
499,92,44,D
508,15,44,C
516,23,44,C
626,33,44,D
683,46,44,C
689,25,44,O
728,88,44,O
96,70,45,D
164,12,45,D
261,12,45,O
542,37,45,O
745,82,45,D
974,89,45,D
985,9,45,C
1000,65,45,O
333,2,46,C
467,67,46,D
634,2,46,D
675,30,46,D
778,72,46,O
210,92,47,C
298,89,47,C
377,70,47,O
581,7,47,O
586,94,47,C
592,78,47,C
704,53,47,O
757,40,47,D
841,44,47,D
937,97,47,D
19,15,48,D
36,90,48,C
183,26,48,D
348,92,48,O
421,48,48,D
612,58,48,O
696,85,48,C
731,7,48,D
874,66,48,C
48,39,49,C
89,64,49,O
163,94,49,D
216,56,49,C
318,25,49,O
330,81,49,O
444,82,49,D
580,85,49,O
639,100,49,C
652,38,49,C
682,81,49,C
715,50,49,O
761,50,49,D
911,90,49,C
97,55,50,C
169,13,50,D
222,70,50,O
238,78,50,C
257,18,50,C
271,46,50,D
606,17,50,D
609,67,50,O
838,31,50,C
934,60,50,C
6,51,51,C
231,26,51,D
313,71,51,O
323,11,51,O
325,16,51,C
466,51,51,D
549,97,51,D
584,3,51,D
701,12,51,C
742,99,51,O
788,73,51,C
906,46,51,C
915,2,51,C
13,20,52,C
77,3,52,O
215,57,52,C
326,24,52,D
400,77,52,D
448,87,52,D
605,59,52,D
781,76,52,C
831,96,52,O
845,79,52,D
888,68,52,D
892,31,52,C
125,88,53,O
184,19,53,D
225,12,53,C
237,61,53,O
335,96,53,O
341,100,53,D
489,37,53,C
511,2,53,C
526,61,53,C
572,32,53,C
762,27,53,C
790,19,53,C
918,16,53,D
8,77,54,C
138,92,54,C
290,43,54,O
417,27,54,C
439,55,54,C
480,79,54,O
625,9,54,C
849,15,54,O
919,47,54,D
148,84,55,D
272,8,55,C
320,1,55,D
366,50,55,C
507,55,55,D
773,44,55,O
822,99,55,D
982,94,55,O
91,46,56,D
100,22,56,C
193,44,56,O
380,13,56,D
442,31,56,O
697,69,56,O
707,58,56,C
714,35,56,C
784,81,56,C
897,56,56,D
202,12,57,O
332,13,57,O
514,97,57,C
793,86,57,C
990,37,57,D
203,55,58,C
260,60,58,O
546,50,58,O
629,11,58,O
836,96,58,C
60,39,59,D
170,26,59,D
267,48,59,C
349,67,59,C
453,99,59,O
461,25,59,C
470,58,59,C
636,32,59,C
666,69,59,C
669,19,59,D
698,51,59,D
699,53,59,D
777,81,59,O
812,32,59,C
877,47,59,C
236,25,60,D
391,90,60,C
468,84,60,C
590,58,60,C
871,7,60,C
950,31,60,C
18,60,61,O
123,34,61,O
199,89,61,O
201,97,61,O
219,54,61,D
389,60,61,D
438,56,61,C
482,10,61,D
487,66,61,D
693,24,61,D
801,91,61,O
804,18,61,O
7,23,62,D
127,71,62,D
135,83,62,O
151,21,62,O
205,21,62,D
304,6,62,O
315,3,62,O
337,65,62,O
565,60,62,C
589,65,62,O
657,79,62,D
768,86,62,D
850,72,62,O
929,33,62,C
223,29,63,O
310,33,63,C
373,74,63,O
427,15,63,O
431,82,63,O
536,82,63,O
602,46,63,C
628,33,63,C
703,26,63,O
795,26,63,O
923,100,63,D
246,57,64,D
372,36,64,C
386,54,64,O
595,57,64,D
672,45,64,D
764,95,64,O
840,97,64,D
879,74,64,O
229,88,65,O
233,66,65,O
293,5,65,O
307,41,65,O
404,80,65,C
460,29,65,O
798,85,65,O
824,2,65,D
893,98,65,D
22,72,66,D
141,73,66,C
422,31,66,C
883,54,66,C
901,52,66,D
159,50,67,O
252,35,67,O
273,23,67,D
450,77,67,D
478,34,67,O
545,88,67,D
641,36,67,C
34,74,68,D
75,35,68,C
383,63,68,O
537,31,68,D
649,75,68,C
710,9,68,D
965,40,68,O
32,71,69,D
72,7,69,C
79,92,69,C
114,25,69,C
198,45,69,D
334,53,69,D
361,84,69,O
463,10,69,D
485,99,69,D
617,78,69,C
726,6,69,D
770,28,69,C
826,43,69,O
894,76,69,D
953,49,69,D
88,12,70,C
115,96,70,C
207,79,70,O
227,47,70,C
387,79,70,O
600,43,70,C
732,92,70,D
134,63,71,O
175,69,71,C
286,99,71,O
411,54,71,O
594,33,71,O
631,22,71,C
947,20,71,C
259,91,72,O
282,74,72,O
289,20,72,O
314,36,72,D
338,83,72,O
339,19,72,D
456,40,72,C
679,79,72,C
819,59,72,O
28,11,73,C
58,29,73,O
101,61,73,O
241,97,73,C
300,82,73,C
336,19,73,O
756,14,73,D
896,97,73,O
939,42,73,O
980,33,73,D
994,10,73,D
67,13,74,O
76,13,74,D
143,79,74,C
162,92,74,C
247,84,74,O
491,15,74,C
492,58,74,D
616,65,74,C
797,8,74,O
821,37,74,D
828,91,74,O
903,23,74,O
927,76,74,O
968,4,74,O
24,97,75,C
614,11,75,D
718,27,75,D
779,32,75,O
40,62,76,C
95,53,76,O
232,48,76,D
343,57,76,D
385,75,76,D
558,17,76,O
642,67,76,O
769,38,76,O
806,2,76,C
981,72,76,C
81,52,77,C
130,15,77,D
142,78,77,C
285,63,77,D
451,38,77,D
533,60,77,D
582,57,77,C
613,42,77,C
670,23,77,D
688,70,77,C
708,52,77,C
853,61,77,O
996,47,77,D
206,50,78,C
254,55,78,O
258,12,78,O
283,21,78,O
428,81,78,C
501,95,78,C
527,7,78,O
659,47,78,C
839,87,78,C
971,51,78,O
993,70,78,D
38,47,79,D
64,77,79,D
111,41,79,O
230,13,79,O
295,92,79,C
384,56,79,C
454,98,79,O
472,72,79,D
573,77,79,D
691,33,79,D
721,3,79,O
729,1,79,O
891,82,79,D
917,70,79,O
61,23,80,O
92,33,80,D
213,72,80,O
354,3,80,D
396,92,80,D
433,31,80,D
445,39,80,C
459,45,80,D
479,10,80,C
486,51,80,D
575,53,80,D
694,43,80,C
5,60,81,C
155,32,81,O
160,40,81,D
362,64,81,C
432,53,81,O
543,23,81,C
567,45,81,O
593,38,81,D
695,80,81,D
881,70,81,O
302,50,82,O
329,81,82,O
331,88,82,D
611,98,82,O
900,59,82,D
964,47,82,C
977,82,82,C
98,14,83,C
192,16,83,C
255,10,83,C
375,92,83,O
403,28,83,C
497,95,83,O
644,33,83,O
844,65,83,D
869,4,83,D
941,44,83,C
960,88,83,O
989,87,83,C
3,92,84,O
136,70,84,D
137,88,84,O
139,39,84,D
196,35,84,C
587,89,84,C
622,13,84,O
854,97,84,C
922,85,84,O
959,100,84,D
962,87,84,C
30,79,85,D
140,20,85,O
208,19,85,C
410,87,85,D
464,54,85,C
748,15,85,D
753,46,85,C
820,46,85,D
866,7,85,C
909,11,85,C
84,70,86,D
180,38,86,C
270,64,86,O
311,35,86,C
406,29,86,O
534,99,86,D
647,40,86,C
658,27,86,C
722,59,86,C
737,89,86,C
755,82,86,C
803,98,86,D
35,31,87,O
37,76,87,C
158,82,87,O
212,85,87,O
321,49,87,O
552,60,87,D
656,40,87,C
671,86,87,C
775,75,87,C
978,38,87,O
983,97,87,D
66,90,88,C
174,39,88,C
266,91,88,C
301,67,88,O
312,28,88,O
371,26,88,D
620,4,88,O
752,97,88,D
933,62,88,D
239,14,89,O
340,17,89,D
399,59,89,O
506,70,89,C
529,71,89,D
645,88,89,C
719,89,89,O
776,77,89,D
805,50,89,C
882,51,89,C
54,69,90,D
124,4,90,O
274,39,90,D
324,98,90,O
347,52,90,D
351,67,90,D
440,95,90,C
825,90,90,C
940,51,90,D
4,81,91,O
93,38,91,D
167,93,91,C
268,38,91,C
277,8,91,C
297,70,91,O
420,37,91,O
473,72,91,D
518,57,91,O
559,91,91,D
630,5,91,D
667,30,91,D
738,21,91,O
791,99,91,D
811,19,91,D
53,66,92,O
62,7,92,D
80,32,92,O
120,77,92,C
156,72,92,C
166,67,92,C
275,19,92,O
279,55,92,C
474,85,92,C
524,40,92,D
550,2,92,O
569,85,92,O
579,60,92,C
774,63,92,D
837,49,92,O
848,58,92,D
860,65,92,O
876,1,92,C
57,62,93,C
186,23,93,C
204,6,93,O
284,71,93,C
306,59,93,D
424,30,93,D
425,75,93,D
665,94,93,O
792,34,93,C
958,4,93,O
972,13,93,O
10,98,94,D
107,99,94,C
132,61,94,O
168,33,94,C
548,44,94,O
603,81,94,D
706,13,94,O
739,61,94,O
973,39,94,D
41,30,95,C
46,15,95,O
182,73,95,O
376,83,95,O
560,45,95,C
952,35,95,C
56,9,96,D
152,88,96,D
522,50,96,C
618,29,96,C
976,73,96,O
110,47,97,O
226,38,97,C
291,91,97,C
394,9,97,O
493,47,97,O
505,63,97,D
615,47,97,C
651,29,97,D
687,31,97,C
794,80,97,O
914,73,97,D
930,41,97,O
979,3,97,D
49,96,98,D
248,47,98,C
287,36,98,C
469,79,98,O
471,1,98,O
712,88,98,C
799,48,98,O
815,52,98,C
931,18,98,O
50,32,99,C
149,10,99,O
251,6,99,D
392,50,99,O
437,4,99,O
541,41,99,D
566,93,99,O
601,70,99,C
633,9,99,C
660,34,99,O
713,38,99,O
716,37,99,D
766,22,99,O
992,35,99,O
44,20,100,C
105,68,100,C
288,19,100,D
458,33,100,D
462,26,100,C
477,30,100,C
646,72,100,C
741,37,100,O
902,83,100,O
984,68,100,C
